,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat
465,fish oil,myxomatous mitral valve disease,"A cardiac protection blend (CPB) of nutrients including medium chain triglycerides, fish oil and other key nutrients was developed to slow the progression of canine myxomatous mitral valve disease (MMVD).",,0.0,1.0
466,turkey red blood cells,hemolytic,Almost all the organisms produced siderophore and were hemolytic on turkey red blood cells.,,0.0,0.0
467,wheat,allergic reaction,"Wheat is a food allergen that occasionally causes a systemic allergic reaction; however, little is known about the quantities of wheat allergen required to evoke allergic symptoms.",,1.0,0.0
468,salt,hypertension,"Excessive salt intake is an important risk factor of diseases such as hypertension, stroke, and stomach cancer.",DOID:10763,1.0,0.0
469,ketogenic diet,seizures,The ketogenic diet is an effective alternative therapy used to control intractable seizures.,,0.0,1.0
470,oil tea,ailments,Oil tea has traditionally been used in minority populations in China for treating various ailments in traditional Chinese medicine.,,0.0,1.0
471,beverages,acute renal disorders,A long-standing body of clinical observations associates low 24-h total water intake (TWI = water + beverages + food moisture) with acute renal disorders such as kidney stones and urinary tract infections.,,0.0,0.0
472,rice milk,hypoalbuminemia,"Although several cases of severe hypoalbuminemia resulting from rice milk have been described in the past, today the use of rice milk without nutritional counseling to treat eczema is still a continuing, poor practice.",,1.0,0.0
473,soy foods,cardiometabolic disease,"Consumption of soy foods has been associated with protection against cardiometabolic disease, but the mechanisms are incompletely understood.",,0.0,1.0
474,sesame oil,joints pain,Sesame oil is an herbal product that has been used to treat the joints pain in several traditional medicines.,,0.0,1.0
475,lamb,asthma,"In China, lamb and fish are well-known triggers for an asthma attack.",DOID:2841,1.0,0.0
476,red meat,atherosclerosis,"Recent evidence has also suggested carnitine from red meat, as a precursor for trimethylamine-N-oxide, which has been shown to cause atherosclerosis, may increase the risk of suffering CVD in experimental animals.",DOID:1936,1.0,0.0
477,watermelon,systolic blood pressure,"Consumption of watermelon has been associated with beneficial effects on metabolism, including reductions in systolic blood pressure, improved fasting blood glucose levels, and changes in hepatic metabolite accumulation.",,0.0,1.0
478,garlic,colorectal cancer,Garlic and its constituents are reported to have a preventive effect against colorectal cancer in animal models.,DOID:9256,0.0,1.0
479,wheat flour,allergy,Occupational allergy to components of wheat flour is the main cause of rhinitis and asthma of workers in bakeries and similar activities.,,1.0,0.0
480,flour dust,developing rheumatoid arthritis,"We estimated the association between occupational exposures to five different organic dusts: wood, animal, paper, textile and flour dust and the risk of developing rheumatoid arthritis (RA).",,0.0,0.0
481,walnuts,cardiovascular disease,"The associations between specific types of nuts, specifically peanuts and walnuts, and cardiovascular disease remain unclear.",,0.0,0.0
482,oregano oil,hepatitis c,"Oregano oil was found to specifically inhibit lentiviruses, such as human and simian immunodeficiency viruses (HIV and SIV), irrespective of virus tropism, but not hepatitis C virus, adenovirus 5 (ADV5), Zika virus, and influenza (H1N1) virus.",,0.0,0.0
483,fruit,cardiovascular disease,Fruit and vegetable intake has been associated with a reduced risk of cardiovascular disease.,,0.0,1.0
484,fruits,nephrolithiasis,"Dietary Approaches to Stop Hypertension (DASH), a low-sodium and fruits/vegetables-rich diet, has been associated with a lower risk of nephrolithiasis, due to altered urinary biochemistry.",DOID:585,0.0,1.0
485,butter flavoring vapors,bronchiolitis obliterans,"In 2000, inhalation of butter flavoring vapors was first associated with clinical bronchiolitis obliterans among workers in microwave popcorn production.",DOID:2799,1.0,0.0
486,coffee beans,ad,"In addition, eicosanoyl-5-hydroxytryptamide (EHT), a naturally occurring component from coffee beans that modulates PP2A methylation, was shown to confer therapeutic benefits in rodent models of AD and Parkinson's disease.",,0.0,1.0
487,folic acid,neural tube defects,"Consumption of adequate amounts of folic acid by women before pregnancy and during early pregnancy decreases their risk for having a pregnancy affected by neural tube defects (NTDs), the most common preventable type of birth defects worldwide.",DOID:0080074,0.0,1.0
488,mediet,inflammation,"Several clinical, epidemiological and experimental evidences suggest that consumption of the MeDiet reduces the incidence of certain pathologies related to oxidative stress, chronic inflammation and immune system diseases such as cancer, atherosclerosis and cardiovascular disease (CVD).",,0.0,1.0
489,processed meat,type 2 diabetes,There is sparse evidence for the association of suitable food substitutions for red and processed meat on the risk of type 2 diabetes.,DOID:9352,0.0,0.0
490,extra virgin olive oil,alzheimer's disease,"Consumption of extra virgin olive oil (EVOO), a major component of the Mediterranean diet, has been associated with reduced incidence of Alzheimer's disease (AD).",DOID:10652,0.0,1.0
491,saffron,asthma,Saffron has anti-inflammatory effects and may has beneficial effects on asthma.,DOID:2841,0.0,1.0
492,fruit drinks,asthma,", HFCS-sweetened soda, fruit drinks and apple juice - a high-fructose 100 % juice - are associated with asthma, possibly because of the high fructose:glucose ratios and underlying fructose malabsorption, which may contribute to enteral formation of pro-inflammatory advanced glycation end products, which bind receptors that are mediators of asthma.",DOID:2841,1.0,0.0
493,fruit,cognitive decline,"Finally, the limited epidemiological evidence available on fruit and vegetable consumption and cognition generally supported a protective role of these macronutrients against cognitive decline, dementia, and AD.",,0.0,1.0
494,inadequate diet,bmd,"Inadequate diet, which may occur in depressed individuals prescribed SSRIs is also associated with decreased BMD.",,0.0,1.0
495,shells of embryonated eggs,chlamydia-qpcr,Chlamydia-qPCR determined that 97.6% of shells of embryonated eggs (287/294) from a breeding farm were positive for C. gallinacea.,DOID:11263,0.0,0.0
496,fish,cognitive decline,Epidemiological studies have presented inconsistent evidence of the correlation between a fish-oriented dietary intake (FDI) and the risk of cognitive decline.,,0.0,0.0
497,soybean curd,cognitive impairment,"Paradoxically, the Honolulu Asia Aging Study reported an increased risk for cognitive impairment and other dementia markers with high tofu (soybean curd) intake.",,1.0,0.0
498,nuts,stroke,A recent study confirmed the stroke preventive effect of a Mediterranean diet rich in olive oil and nuts; a ketogenic diet reduces seizure frequency in epilepsy.,DOID:6713,0.0,1.0
499,garlic supplements,colorectal cancer,"Laboratory studies have provided evidence that allium vegetables and garlic supplements might protect against colorectal cancer (CRC), but epidemiologic studies have produced inconsistent findings.",DOID:9256,0.0,1.0
500,milk,osteoporosis,Biologically active peptides in milk proteins can be used as effective dietary supplements for management of bone-associated issues including osteoporosis.,DOID:11476,0.0,1.0
501,diet,diabetes mellitus,Difficulty in adhering to the recommended diet is a common problem in individuals with diabetes mellitus (DM).,DOID:9351,0.0,0.0
502,broccoli,cancers,"Brassica species, and broccoli in particular, are associated with reduced risk of several important cancers.",DOID:162,0.0,1.0
503,malnutrition,hypertension,The sex differences in malnutrition and hypertension during adolescence is largely inconclusive.,DOID:10763,0.0,0.0
504,cigarette smoke,asthma,Cigarette smoke and secondhand (passive) smoke have been causally related to asthma and lung cancer.,DOID:2841,1.0,0.0
505,olive oil,cognitive decline,"In the French Three-City Study, a ten-year follow-up (2000-2010) showed that higher consumption of olive oil was associated with lower risk of death, as well as protection from cognitive decline and stroke.",,0.0,1.0
506,chocolate,dental erosions,"Potential predictors for dental erosions were: gender, age, chronic use of antidepressants and proton pump inhibitors (PPI), diabetes mellitus, body mass index, heartburn and acid regurgitation scores, chocolate intake, reflux esophagitis and hiatal hernia.",,0.0,0.0
507,cocoa consumption,type 2 diabetes,"Regular cocoa consumption has been shown to improve blood pressure (BP), insulin sensitivity, and lipid levels in patients with type 2 diabetes (T2D), using up to 100 g of chocolate or 54 g of cocoa.",DOID:9352,0.0,1.0
508,tea,pain,"Dietary polyphenols and other bioactive compounds in berries, curcumin, and tea have shown effects in ameliorating pain and inflammation in OA, but few clinical studies have been reported.",,0.0,1.0
509,fruit,chronic diseases,"Higher consumption of fruit and vegetables has been associated with a lower risk of various chronic diseases including coronary heart disease, obesity, and certain cancers.",,0.0,1.0
510,garlic,"colon, lung, and skin cancers","Diallyl disulfide (DADS), a component of garlic (Allium sativum), has been known to exert potent chemopreventative activity against colon, lung, and skin cancers.",,0.0,1.0
511,chicken,leukotoxin,Leukotoxin purified with preparative SDS-PAGE was used for the production of chicken polyclonal antibodies (PAb) that served as the primary detecting antibody.,,0.0,0.0
512,tea,diabetic,"Though the diabetic cohort consumes a lower number of snacks and desserts, they consume a higher amount of sugar for tea.",,0.0,0.0
513,food consumption,obesity,"Thus, having obesity was associated with altered relationships between food consumption and the hedonic responses to food rewards as well as reduced satiety effects in women.",DOID:9970,0.0,0.0
514,p. cauliflora,skin irritations,"The fruits of P. cauliflora are used as food, and almost all parts of this species have long been used as a traditional Brazilian medicine for the treatment of skin irritations, flu, diarrhea, labyrinthitis, genito-urinary problems, and asthma.",,0.0,1.0
515,coffee,alzheimer's disease,Several epidemiological and preclinical studies supported the protective effect of coffee on Alzheimer's disease (AD).,DOID:10652,0.0,1.0
516,diseased turkey,infectious bronchitis,"Using a newly designed real-time reverse transcriptase-polymerase chain reaction assay specific for the nucleocapsid (N) gene of infectious bronchitis virus (IBV) and turkey coronaviruses (TCoV), coronaviruses were identified in 37% of the intestinal samples collected from diseased turkey flocks.",,0.0,0.0
517,curcuma longa,inflammatory diseases,"The use of turmeric, derived from the root of the plant Curcuma longa, for treatment of different inflammatory diseases has been described in Ayurveda and in traditional Chinese medicine for thousands of years.",,0.0,1.0
518,chickpea flour,type 2 diabetes mellitus,Food supplementation with a fiber mix of guar gum and chickpea flour represents a promising approach to reduce the risk of type 2 diabetes mellitus (T2DM) by attenuating postprandial glycemia.,DOID:9352,0.0,1.0
519,flour,bronchitis,"Symptoms suggestive of chronic bronchitis or chronic productive cough were found in 29.0% of 100 workers exposed to flour dust in a flour mill, 26.0% presenting with chronic cough and 29.0% with phlegm.",DOID:6132,1.0,0.0
520,cocoa,insulin sensitivity,"These beverages include compounds that may have contradictory effects on insulin and glucose: Caffeine impairs insulin sensitivity, but polyphenolic molecules within tea, coffee, and cocoa augment the effects of insulin.",,0.0,0.0
521,milk,caprine arthritis encephalitis virus (caev) infection,The exact influence of caprine arthritis encephalitis virus (CAEV) infection on blood and milk polymorphonuclear leukocytes (PMNLs) and monocyte/macrophages of goats remains unclear.,,0.0,0.0
522,shenzao jiannao oral liquid (szjn),insomnia,"Shenzao jiannao oral liquid (SZJN), a traditional Chinese preparation approved by the China Food and Drug Administration (CFDA), is used for the treatment of insomnia and mind fatigue at present for its efficacy of nourishing kidneys.",,0.0,1.0
523,dioscorea,diabetes,"Yam (Dioscorea spp.), known as an edible and medicinal tuber crop in China, has been used historically for the treatment of diabetes, diarrhea, asthma, and other ailments in traditional Chinese medicine.",DOID:9351,0.0,1.0
524,aluminium,neurotoxin,"Aluminium (Al), a neurotoxin, has lately been implicated as one of the possible causal factors contributing to Alzheimer's disease.",,0.0,0.0
525,added salt,rhythm disorders,"Saturated fat, added salt, and excessive energy drink consumption appear to be harmful for patients with rhythm disorders.",,1.0,0.0
526,green tea,infectious diseases,"Catechins, phytochemicals contained mainly in green tea, exhibit antiviral activity against various acute infectious diseases experimentally.",DOID:0050117,0.0,1.0
527,ginger,obesity-related impairments,"Reports have shown that ginger and avocado induce antioxidant and anti-inflammatory effects by improving enzymatic activity and modulating obesity-related impairments in the anti-inflammatory system in different tissues, without side effects.",,0.0,1.0
528,shiitake mushrooms,flagellate dermatitis,Flagellate dermatitis caused by the intake of shiitake mushrooms is characterized by linear erythematous lesions that are intensely pruritic.,DOID:2723,1.0,0.0
529,fruit,cardiovascular and cerebrovascular diseases,Fruit and vegetable consumption was considered a protective effect against cardiovascular and cerebrovascular diseases (CVDs).,,0.0,1.0
530,sugar,obesity,Poor dietary habits contribute to the obesity pandemic and related cardiovascular diseases but the respective impact of high saturated fat versus added sugar consumption remains debated.,DOID:9970,0.0,0.0
531,sugar,chronic diseases,"Epidemiological studies have shown that higher sugar-sweetened beverage consumption is associated with increased risk of developing chronic diseases, including cardiovascular disease, type 2 diabetes mellitus, obesity, non-alcoholic fatty liver disease, gout, and rheumatoid arthritis and to worse symptoms in some patients with rheumatoid arthritis.",,1.0,0.0
532,ketogenic diet,epilepsy,"First identified as a feasible treatment for intractable epilepsy, the ketogenic diet (KD) has recently gained popularity thanks to growing evidence on applications such as weight loss, most importantly, but also NAFLD, cancer, neurologic conditions and chronic pain.",DOID:1826,0.0,1.0
533,ultra-processed foods,non-communicable diseases,"There is a causal link between the consumption of ultra-processed foods and a range of non-communicable diseases (NCDs) such as obesity, type 2 diabetes and cancers.",,1.0,0.0
534,fish oil,asthma,"Maternal dietary interventions during pregnancy with fish oil and high dose vitamin D have been shown to reduce the incidence of asthma and wheeze in offspring, potentially through microbial effects in pregnancy or early childhood.",DOID:2841,0.0,1.0
535,poor quality of the diets,anemia,"These findings suggest that in rural China, anemia stems from the poor quality of the diets of infants/toddlers, rather than insufficient quantities of food being consumed.",DOID:2355,1.0,0.0
536,tea consumption,postmenopausal osteoporosis,"Tea consumption has positive effects on the skeletal system and prevents postmenopausal osteoporosis, mainly by inhibiting osteoclastogenesis.",,0.0,1.0
537,garlic,cancer,"Epidemiological evidence indicates that a high dietary intake of plants of the Allium family, such as garlic and onions, is associated with a decreased risk of cancer in humans.",,0.0,1.0
538,eggplant,oral ulcers,"The most common foods reported as triggers for oral ulcers were eggplant (78.3%), melon (68.3%), walnut (68.2%), and cantaloupe (66.7%).",DOID:9663,1.0,0.0
539,ginger,hyperlipidemia,"Ginger (Zingiber officinale Roscoe, Zingiberaceae) has been documented to ameliorate hyperlipidemia, hyperglycemia, oxidative stress, and inflammation.",,0.0,1.0
540,olive oil,ad,"It has been previously demonstrated that daily intake of hydroxytyrosol (HT), a polyphenol in olive oil, at a daily dietary level mildly improves cognition in AD mice.",,0.0,1.0
541,fb1-contaminated corn,neural tube defects,A relationship between maternal ingestion of FB1-contaminated corn during early pregnancy and increased risk for neural tube defects (NTDs) has recently been proposed in human populations around the world where corn is a dietary staple.,DOID:0080074,1.0,0.0
542,available drugs,osteoarthritis,"Osteoarthritis (OA) is a leading cause of physical disability among aging populations, with no available drugs able to efficiently restore the balance between cartilage matrix synthesis and degradation.",DOID:8398,0.0,0.0
543,sucrose,diabetes,"Chocolate milk is one of the most commonly used non-fermentative dairy products, which, due to high level of sucrose, could lead to diabetes and tooth decay among children.",DOID:9351,1.0,0.0
544,diet,cardiovascular disease,"This genetic variation is associated with different plasma lipoprotein levels, different response to diet and lipid-lowering therapy, and a variable risk for cardiovascular disease and Alzheimer's disease.",,0.0,0.0
545,grape extract (ge),lifestyle-related diseases,"Grape extract (GE), which contains various polyphenolic compounds, exerts protective effects against lifestyle-related diseases, such as diabetes and hypertension.",,0.0,1.0
546,flour,asthmatic reactions,"Bronchial provocation tests by ""occupational"" exposure to flour provoked dual asthmatic reactions accompanied by rhinitis in two atopic bakers engaged in the manufacture of bread and pies.",,1.0,0.0
547,processed foods,hypertension,Increased consumption of processed foods in the modern world has contributed to a high salt intake and thus increased the prevalence of hypertension among Malaysian populations.,DOID:10763,1.0,0.0
548,turkey,infectious bronchitis,"Within the family Coronaviridae the embryonated egg has been used as a host system primarily for two avian coronaviruses within the genus Gammacoronavirus, infectious bronchitis virus (IBV) and turkey coronavirus (TCoV).",,0.0,0.0
549,coffee,neurodegenerative diseases,"Our findings strongly suggest that some foods, especially coffee, can act as a rich source of ÃÂÃÂÃÂÃÂ²-carbolines, which may possibly be associated with a reduced risk for serious neurodegenerative diseases, such as Parkinson's and Alzheimer's.",DOID:1289,0.0,1.0
550,symptomatic slow-acting drugs,osteoarthritis,Evidence supports the use of glucosamine and chondroitin as symptomatic slow-acting drugs for osteoarthritis (SYSADOAs) with impact on OA symptoms and disease-modifying effects in the long term.,DOID:8398,0.0,1.0
551,dairy,mastitis,Bovine mastitis continues to be a leading cause of heavy economic losses in the dairy industry and a public health hazard globally.,DOID:10690,0.0,0.0
552,beans,diabetes,Vegetables and beans are nutrient-dense foods with innate potential to mediate diabetes in a variety of cultures.,DOID:9351,0.0,1.0
553,cocoa polyphenols,metabolic disturbances,Cocoa polyphenols exhibit high antioxidant activity and have been proposed as a potential adjuvant for the treatment of metabolic disturbances.,,0.0,1.0
554,nuts,chronic disease,"Although a high intake of plant foods such as fruits, vegetables, whole grains, nuts, and legumes has been recommended for chronic disease prevention, it has been unclear what is the optimal amount of intake of these foods and whether specific subtypes are particularly beneficial.",,0.0,1.0
555,lower water and food intake,respiratory system disorders,"Apathy, lower water and food intake, respiratory system disorders and a total mortality of 60% were noted.",,0.0,0.0
556,extra virgin olive oil,glycemia,"Oleuropein, a component of extra virgin olive oil (EVOO), reduces post-prandial glycemia with a mechanism counteracting oxidative stress-mediated incretin down-regulation.",,0.0,1.0
557,fruits,cvd,"CVD can be prevented by some simple and cost-effective steps such as smoking cessation, normalizing body weight, regular physical activity, and dietary changes, including decreasing saturated fats, increasing the intake of vegetables and fruits, and reducing sugar intake.",,0.0,1.0
558,fruit,mental disorders,"No studies so far have shown the effect of fruit and vegetable intake on mental disorders in Mexican Americans, for whom mental illness is an important health issue.",,0.0,0.0
559,curcuma longa,neurodegenerative diseases,"Therefore, novel therapeutic strategies have long been investigated, where curcumin (Curcuma longa) has shown some properties that can prevent the deleterious processes involved in neurodegenerative diseases.",DOID:1289,0.0,1.0
560,tomato fruit,memory impairment,"ÃÂÃÂÃÂÃÂ²-Amyrin, an ingredient of the surface wax of tomato fruit and dandelion coffee, is previously reported to ameliorate memory impairment induced by cholinergic dysfunction.",,0.0,1.0
561,chicken,amd,"These results demonstrated that the developed immunoassay provided a sensitive, rapid, and accurate approach for the detection of AMD in chicken by employing MBs as solid phase and SA-BIO as signal amplification.",,0.0,0.0
562,pharmaceutical drugs,hyperuricemia,"While pharmaceutical drugs have been shown to exhibit serious side effects, and bioactive compounds from plant-based functional foods have been demonstrated to be active in the treatment of hyperuricemia with only minimal side effects.",DOID:1920,0.0,0.0
563,diet,food allergy,"The steep rise in food allergy (FA) has evoked environmental factors involved in disease pathogenesis, including the gut microbiota, diet, and their metabolites.",,0.0,0.0
564,zinc,fracture,"Although dairy products provide more bone-beneficial nutrients (e.g., calcium, magnesium, potassium, zinc, phosphorus, and protein) per unit of energy than any other food group, the relevance of dairy products for long-term bone health and fracture prevention has resurged as some observational studies have suggested consumption to be associated with a greater risk of fractures.",,0.0,0.0
565,sodium-glucose cotransporter 2 (sglt2),t2dm,"Recent studies on cardiovascular outcomes among patients with T2DM have clearly shown that sodium-glucose cotransporter 2 (SGLT2) inhibitors, such as empagliflozin, canagliflozin, and dapagliflozin, have cardiorenal protective effects apart from their glucose-lowering effects.",,0.0,0.0
566,curcuma longa,rheumatoid arthritis,Curcuma longa (CL) or turmeric is an Ayurvedic herb that has been traditionally used to treat inflammatory conditions like rheumatoid arthritis (RA).,DOID:7148,0.0,1.0
567,red wine,cognitive decline,These effects have been related to the protection against cognitive decline associated with aging and disease by a number of polyphenols found in red wine and extra virgin olive oil.,,0.0,1.0
568,mediterranean diet,sci,"The Mediterranean diet, along with exercise and dietary supplements, has been suggested as an anti-inflammatory intervention in individuals with SCI.",,0.0,1.0
569,extra virgin olive oil,joint inflammatory diseases,"Recently, oleocanthal isolated from extra virgin olive oil was found to display nonsteroidal antiinflammatory drug activity similar to that of ibuprofen, a drug widely used in the therapeutic management of joint inflammatory diseases.",,0.0,1.0
570,salt,nutritional reformulation,"Among nutritional reformulation strategies, reductions in caloric density, salt, added sugar, saturated and trans-fats are important in order to reduce the associated risk of developing chronic diseases, including cardiovascular diseases, diabetes and cancer.",,1.0,0.0
571,milk consumption,knee osteoarthritis,Observational studies showed inverse associations between milk consumption and knee osteoarthritis (knee OA).,,0.0,1.0
572,mediterranean diet,bone disease,Mediterranean diet (MD) has shown to prevent bone disease.,DOID:0080001,0.0,1.0
573,functional foods,pathogenic viral infections,"Functional foods optimize the immune system capacity to prevent and control pathogenic viral infections, while physical activity augments such protective benefits.",DOID:934,0.0,1.0
574,milk,fracture,"In adult Caucasian women, daily intake of 200-250 ml of milk is associated with a reduction in fracture risk of 5 % or higher.",,0.0,1.0
575,olive oil,cancers,"Traditional Mediterranean Diet (MD) is associated by the low-prevalence of certain types of cancers and CVDs, where olive oil plays an important role.",DOID:162,0.0,1.0
576,rice,allergy,"In rice allergy, proteins with molecular masses of 14-16, 26, 33, and 56 kDa have been demonstrated to be potentially allergenic.",,1.0,0.0
577,fish,ischemic heart disease,"The low mortality rates from ischemic heart disease and cancer are thought to reflect the low prevalence of obesity in Japan; low intake of red meat, specifically saturated fatty acids; and high intakes of fish, specifically n-3 polyunsaturated fatty acids, plant foods such as soybeans, and nonsugar-sweetened beverages such as green tea.",,0.0,1.0
578,trans-fatty acids,noncommunicable diseases,"Pakistan is among the nations with a high intake of trans-fatty acids (TFAs), a major dietary risk factor of noncommunicable diseases (NCDs).",,1.0,0.0
579,fruit of terminalia chebula,ailments,"The fruit of Terminalia chebula has been used extensively in various traditional health systems for different ailments, with additional preclinical and clinical data demonstrating antioxidant and anti-inflammatory potential.",,0.0,1.0
580,grape seed proanthocyanidin extract (gspe),hypertension,The development of hypertension (HTN) in cafeteria (CAF) diet-fed rats was demonstrated to be attenuated after grape seed proanthocyanidin extract (GSPE) administration.,DOID:10763,0.0,1.0
581,crushed garlic,colon cancer,"Here, we identified Z-ajoene, a sulfur containing compound isolated from crushed garlic, as an inhibitor of colon cancer cell growth.",DOID:219,0.0,1.0
582,oats,chronic diseases,Oats products are believed to contain many bioactives that possess potential beneficial properties against chronic diseases.,,0.0,1.0
583,human milk,cow's milk protein allergy (cmpa),"Due to its similarity with human milk and its low allergenic properties, donkey milk has long been used as an alternative for infants and patients with cow's milk protein allergy (CMPA).",,0.0,0.0
584,yogurt,human disease,The judicious use of milk and yogurt could prevent a high proportion of human disease.,,0.0,1.0
585,tea consumption,alzheimer disease,"For the recalculated meta-analyses, quality of evidence was moderate for inverse associations between higher adherence to the Mediterranean diet (SRR: 0.63; 95% CI: 0.48, 0.82; n = 4 primary studies) and higher fish intake (SRR: 0.72; 95% CI: 0.59, 0.89; n = 6) and Alzheimer disease, as well as for tea consumption and all-cause dementia (SRR: 0.74; 95% CI: 0.63, 0.88; n = 2) and Parkinson disease (SRR per 2 cups/d: 0.69; 95% CI: 0.54, 0.87; n = 5).",,0.0,0.0
586,dietary virgin olive oil,hypoxia,Recent studies suggest that dietary virgin olive oil reduces hypoxia-reoxygenation injury in rat brain.,,0.0,1.0
587,garlic,asthma,"Twenty-three positive bronchial or nasal challenges were performed on 16 patients (six farmers, six bakery workers, and four food industry workers) and asthma or rhinitis was diagnosed as caused by cereal flour or grain, cow epithelium, storage mites, garlic, or soy dust.",DOID:2841,1.0,0.0
588,ginger,human diseases,"Natural products, such as ginger, curcumin, and gingko biloba have been used as diets and dietary supplements to treat human diseases, including cancer, cardiovascular, respiratory, infectious, diabetes, obesity, metabolic syndromes, and neurological disorders.",,0.0,1.0
589,dairy products,obesity,"Efficiency of milk and dairy products in treatment of obesity, sclerosis and hypertension has been proved by DASH diet.",DOID:9970,0.0,1.0
590,milk,hip fracture,"However, there is also evidence of a detrimental effect of milk on the risk of hip fracture.",,0.0,1.0
591,sodium consumption,chronic disease,"However, population-level strategies to reduce sodium consumption, such as food product reformulation, modifying food procurement processes, and federal healthy eating policies, are important public health initiatives that can produce meaningful reductions in sodium consumption and help to prevent chronic disease in adulthood.",,1.0,0.0
592,ginkgo biloba,mci,"Supplementation with vitamin E (one study, n 516), ginkgo biloba (one study, n 482) or Fortasyn Connect (one study, n 311) had no significant effect on progression from MCI to dementia and/or AD.",,0.0,0.0
593,beans,diabetic,"Common beans have been associated with anti-diabetic effects, due to its high content of bioactive compounds.",,0.0,1.0
594,limanda limanda,ulcerations,Aeromonas salmonicida was isolated from ulcerations in common dab (Limanda limanda).,,0.0,0.0
595,coffee consumption,chronic diseases,"Coffee consumption has been associated with a significant decrease in the risk of developing chronic diseases such as Parkinson disease, diabetes type-2 and several types of cancers (e.g. colon, liver).",,0.0,1.0
596,peas,cardiovascular disease,"Pulses, including peas, are a good source of protein, dietary fiber, folic acid, and iron and are reported to reduce the risk for cardiovascular disease and diabetes.",,0.0,1.0
597,olive oil),cardiovascular disease,Epidemiological studies suggest that a Mediterranean diet (which is rich in virgin olive oil) decreases the risk of cardiovascular disease.,,0.0,1.0
598,diet,low-grade inflammation,"Low-grade inflammation is a suggested mechanism in the development of metabolic syndrome (MetS), and diet could act as a regulator.",,0.0,1.0
599,date fruit, phoenix dactylifera,ailments,"Date fruit, Phoenix dactylifera L. has traditionally been used as a medicine in many cultures for the treatment of a range of ailments such as stomach and intestinal disorders, fever, oedema, bronchitis and wound healing.",,0.0,1.0
600,fruits,coronary heart disease,"Adequate consumption of fruits and vegetables has protective benefits against development of coronary heart disease, hypertension and chronic obstructive pulmonary disease.",DOID:3393,0.0,1.0
601,ginger,asthma,"Curcumin, is a polyphenol from Curcuma longa (turmeric plant), is a polyphenol that belongs to the ginger family which has long been used in Ayurveda medicines to treat various diseases such as asthma, anorexia, coughing, hepatic diseases, diabetes, heart diseases, wound healing and Alzheimer's.",DOID:2841,0.0,1.0
602,lemon,respiratory tract infections,"Natural products like ginger, turmeric, garlic, onion, cinnamon, lemon, neem, basil, and black pepper have been scientifically proven to have therapeutic benefits against acute respiratory tract infections including pulmonary fibrosis, diffuse alveolar damage, pneumonia, and acute respiratory distress syndrome, as well as associated septic shock, lung and kidney injury, all of which are symptoms associated with COVID-19 infection.",,0.0,1.0
603,nuts,atherosclerosis,"Thus, the inclusion of food sources of dietary antioxidants, such as different kinds of nuts, may improve biomarkers related to oxidative stress, contributing to a possible reduction in atherosclerosis progression.",DOID:1936,0.0,1.0
604,persea americana,wilting,"Glasshouse pathogenicity tests with 'Reed' avocado (Persea americana) seedlings confirmed that Calonectria ilicicola is a severe pathogen of avocado, causing stunting, wilting, and seedling death within 5 weeks of inoculation.",,0.0,0.0
605,apple juice,asthma,"Intake of beverages with excess free fructose (EFF), including apple juice, and HFCS sweetened fruit drinks and soft drinks, has been associated with asthma in children.",DOID:2841,1.0,0.0
606,coffee,pd,"However, some evidence exists regarding a potential protective effect of uric acid, poly-unsaturated fatty acids, coffee, and tea but mainly in men, whereas dairy products, particularly milk, might increase PD risk through contaminant mediated effect.",,0.0,1.0
607,folic acid fortification,neural tube defects,There is no doubt that folic acid fortification can be effective for reducing the incidence of neural tube defects.,DOID:0080074,0.0,1.0
